,Rank,Anime,Anime Type,Episodes,Start Air Date,End Air Date,Members,Score
185,186,Cowboy Bebop: Tengoku no Tobira,Movie,1,Sep 2001 , Sep 2001,353741,8.38
186,187,Kage no Jitsuryokusha ni Naritakute!,TV,20,Oct 2022 , Feb 2023,377711,8.38
187,188,Baccano!,TV,13,Jul 2007 , Nov 2007,866224,8.37
188,189,Fumetsu no Anata e,TV,20,Apr 2021 , Aug 2021,782860,8.37
189,190,Usagi Drop,TV,11,Jul 2011 , Sep 2011,473642,8.37
190,191,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,Jul 2020 , Sep 2020,663464,8.37
191,192,Yoru ni Kakeru,Music,1,Nov 2019 , Nov 2019,17084,8.37
192,193,Part1,Movie,1,Jan 2016 , Jan 2016,496935,8.37
193,194,Made in Abyss Movie 2: Hourou Suru Tasogare,Movie,1,Jan 2019 , Jan 2019,117801,8.37
194,195,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1,Oct 2012 , Oct 2012,192775,8.37
195,196,Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11,Jan 2021 , Mar 2021,1100436,8.37
196,197,Mahou Shoujo Madoka★Magica,TV,12,Jan 2011 , Apr 2011,1212976,8.36
197,198,Haikyuu!! To the Top,TV,13,Jan 2020 , Apr 2020,851433,8.36
198,199,Hellsing Ultimate,OVA,10,Feb 2006 , Dec 2012,870667,8.36
199,200,Kaze no Tani no Nausicaä,Movie,1,Mar 1984 , Mar 1984,349206,8.36
200,201,Bakuman. 2nd Season,TV,25,Oct 2011 , Mar 2012,339848,8.35
201,202,Gintama: Shiroyasha Koutan,Special,1,Sep 2008 , Sep 2008,66326,8.35
202,203,K-On! Movie,Movie,1,Dec 2011 , Dec 2011,311051,8.35
203,204,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13,Jul 2020 , Sep 2020,1013066,8.35
204,205,Spy x Family Part 2,TV,13,Oct 2022 , Dec 2022,686704,8.35
205,206,Kiseijuu: Sei no Kakuritsu,TV,24,Oct 2014 , Mar 2015,1743813,8.34
206,207,Neon Genesis Evangelion,TV,26,Oct 1995 , Mar 1996,1675356,8.34
207,208,Psycho-Pass,TV,22,Oct 2012 , Mar 2013,1541643,8.34
208,209,Major S6,TV,25,Apr 2010 , Sep 2010,60157,8.33
209,210,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,Feb 2014 , Feb 2014,76196,8.33
210,211,One Outs,TV,25,Oct 2008 , Apr 2009,225424,8.33
211,212,Tensei shitara Slime Datta Ken 2nd Season Part 2,TV,12,Jul 2021 , Sep 2021,647230,8.33
212,213,Part1,TV,15,Jul 2009 , Jun 2010,1336045,8.33
213,214,Dr. Stone: Ryuusui,Special,1,Jul 2022 , Jul 2022,174445,8.33
214,215,Given,TV,11,Jul 2019 , Sep 2019,519285,8.33
215,216,Gotcha!,Music,1,Sep 2020 , Sep 2020,27754,8.33
216,217,IDOLiSH7 Third Beat! Part 2,TV,17,Oct 2022 , Feb 2023,10273,8.33
217,218,Kidou Senshi Gundam: The Origin,OVA,6,Feb 2015 , May 2018,67769,8.33
218,219,Kingdom 2nd Season,TV,39,Jun 2013 , Mar 2014,114925,8.33
219,220,Uchuu Senkan Yamato 2199,OVA,26,May 2012 , Oct 2013,109716,8.33
220,221,Versailles no Bara,TV,40,Oct 1979 , Sep 1980,90087,8.33
221,222,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special,1,Jul 2018 , Jul 2018,301184,8.33
222,223,Kobayashi-san Chi no Maid Dragon S,TV,12,Jul 2021 , Sep 2021,502923,8.32
223,224,Natsume Yuujinchou Go Specials,Special,2,Mar 2017 , Apr 2017,42562,8.32
224,225,Ookami to Koushinryou II,TV,12,Jul 2009 , Sep 2009,468336,8.32
225,226,Romeo no Aoi Sora,TV,33,Jan 1995 , Dec 1995,46972,8.32
226,227,The First Slam Dunk,Movie,1,Dec 2022 , Dec 2022,15182,8.32
227,228,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,Apr 2011 , Jun 2011,1529878,8.32
228,229,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,Apr 2015 , Jun 2015,806222,8.32
229,230,Initial D First Stage,TV,26,Apr 1998 , Dec 1998,341162,8.32
230,231,Part1,TV,12,Jan 2010 , Dec 2010,537827,8.32
231,232,Kawaki wo Ameku,Music,1,Jan 2019 , Jan 2019,27364,8.32
232,233,Kemono no Souja Erin,TV,50,Jan 2009 , Dec 2009,82280,8.32
233,234,Boku dake ga Inai Machi,TV,12,Jan 2016 , Mar 2016,1950460,8.31
234,235,Boku no Hero Academia 6th Season,TV,25,Oct 2022 ,,455714,8.31
235,236,Evangelion: 2.0 You Can (Not) Advance,Movie,1,Jul 2009 , Jul 2009,505304,8.31
236,237,Hunter x Hunter: Original Video Animation,OVA,8,Jan 2002 , Apr 2002,120925,8.31
237,238,Natsume Yuujinchou,TV,13,Jul 2008 , Sep 2008,509268,8.31
238,239,NHK ni Youkoso!,TV,24,Jul 2006 , Dec 2006,692687,8.31
239,240,Sakamichi no Apollon,TV,12,Apr 2012 , Jun 2012,363128,8.31
240,241,Shelter (Music),Music,1,Oct 2016 , Oct 2016,316190,8.31
241,242,Suzume no Tojimari,Movie,1,Nov 2022 , Nov 2022,121770,8.31
242,243,Kuroko no Basket 3rd Season,TV,25,Jan 2015 , Jun 2015,713076,8.3
243,244,Tenki no Ko,Movie,1,Jul 2019 , Jul 2019,891921,8.3
244,245,Blue Lock,TV,24,Oct 2022 ,,443344,8.3
245,246,Detective Conan Movie 06: The Phantom of Baker Street,Movie,1,Apr 2002 , Apr 2002,73292,8.3
246,247,Diamond no Ace: Second Season,TV,51,Apr 2015 , Mar 2016,129988,8.3
247,248,Hibike! Euphonium 2,TV,13,Oct 2016 , Dec 2016,213117,8.3
248,249,Ashita no Joe,TV,79,Apr 1970 , Sep 1971,83166,8.29
249,250,Beck,TV,26,Oct 2004 , Mar 2005,319846,8.29
250,251,Doukyuusei (Movie),Movie,1,Feb 2016 , Feb 2016,249310,8.29
251,252,Dr. Stone,TV,24,Jul 2019 , Dec 2019,1575686,8.29
252,253,Gintama: Shinyaku Benizakura-hen,Special,1,Dec 2010 , Dec 2010,41272,8.29
253,254,Hotarubi no Mori e,Movie,1,Sep 2011 , Sep 2011,776242,8.29
254,255,Kino no Tabi: The Beautiful World,TV,13,Apr 2003 , Jul 2003,292771,8.29
255,256,World Trigger 3rd Season,TV,14,Oct 2021 , Jan 2022,99811,8.29
256,257,Major: World Series,OVA,2,Dec 2011 , Jan 2012,35150,8.29
257,258,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,Jan 1996 , Sep 1998,470275,8.29
258,259,Shinsekai yori,TV,25,Sep 2012 , Mar 2013,745892,8.29
259,260,Shirobako,TV,24,Oct 2014 , Mar 2015,424347,8.29
260,261,Steins;Gate: Oukoubakko no Poriomania,Special,1,Feb 2012 , Feb 2012,416984,8.29
261,262,Redline,Movie,1,Aug 2009 , Aug 2009,350055,8.28
262,263,Fate/Zero,TV,13,Oct 2011 , Dec 2011,1423893,8.28
263,264,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Movie,12,Mar 2022 , May 2022,17806,8.28
264,265,Tsubasa: Tokyo Revelations,OVA,3,Nov 2007 , Mar 2008,92286,8.28
265,266,Yuru Camp△,TV,12,Jan 2018 , Mar 2018,450202,8.27
266,267,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,Jan 2017 , Mar 2017,1403040,8.27
267,268,Koukaku Kidoutai,Movie,1,Nov 1995 , Nov 1995,590677,8.27
268,269,Nodame Cantabile,TV,23,Jan 2007 , Jun 2007,302817,8.27
269,270,Planetes,TV,26,Oct 2003 , Apr 2004,238820,8.27
270,271,Stranger: Mukou Hadan,Movie,1,Sep 2007 , Sep 2007,317338,8.27
271,272,Tokyo Godfathers,Movie,1,Nov 2003 , Nov 2003,270261,8.27
272,86,,TV,11,Apr 2021 , Jun 2021,646995,8.27
273,274,Gin no Saji 2nd Season,TV,11,Jan 2014 , Mar 2014,139713,8.27
274,275,Golden Kamuy 4th Season,TV,13,Oct 2022 ,,70220,8.27
275,276,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,Oct 2007 , Apr 2008,332384,8.27
276,277,Holo no Graffiti,ONA,1049,May 2019 ,,50711,8.27
277,278,Initial D Final Stage,TV,4,May 2014 , Jun 2014,127737,8.27
278,279,Ao Ashi,TV,24,Apr 2022 , Sep 2022,170482,8.26
279,280,Bakemono no Ko,Movie,1,Jul 2015 , Jul 2015,400608,8.26
280,281,Diamond no Ace: Act II,TV,52,Apr 2019 , Mar 2020,82715,8.26
281,282,Hajime no Ippo: Champion Road,Special,1,Apr 2003 , Apr 2003,124860,8.26
282,283,Hunter x Hunter: Greed Island Final,OVA,14,Mar 2004 , Aug 2004,137240,8.26
283,284,Yuukoku no Moriarty Part 2,TV,13,Apr 2021 , Jun 2021,216932,8.26
284,285,Ramayana: The Legend of Prince Rama,Movie,1,Jan 1993 , Jan 1993,8373,8.26
285,286,Sono Bisque Doll wa Koi wo Suru,TV,12,Jan 2022 , Mar 2022,879976,8.26
286,287,Space☆Dandy 2nd Season,TV,13,Jul 2014 , Sep 2014,158838,8.26
287,288,Tenkuu no Shiro Laputa,Movie,1,Aug 1986 , Aug 1986,449266,8.26
288,289,Kotarou wa Hitorigurashi,ONA,10,Mar 2022 , Mar 2022,120252,8.25
289,290,Kuroshitsuji Movie: Book of the Atlantic,Movie,1,Jan 2017 , Jan 2017,181743,8.25
290,291,Naruto: Shippuuden,TV,500,Feb 2007 , Mar 2017,2290714,8.25
291,292,Non Non Biyori Movie: Vacation,Movie,1,Aug 2018 , Aug 2018,72271,8.25
292,293,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,Oct 2018 , Dec 2018,1592676,8.25
293,294,Sennen Joyuu,Movie,1,Sep 2002 , Sep 2002,169400,8.25
294,295,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special,1,Dec 2015 , Dec 2015,242753,8.25
295,296,Tonari no Totoro,Movie,1,Apr 1988 , Apr 1988,984593,8.25
296,297,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,Movie,4,Nov 2019 , Nov 2019,23569,8.25
297,298,Gyakkyou Burai Kaiji: Hakairoku-hen,TV,26,Apr 2011 , Sep 2011,182357,8.25
298,299,Danshi Koukousei no Nichijou,TV,12,Jan 2012 , Mar 2012,778157,8.24
299,300,Detective Conan: Episode One - The Great Detective Turned Small,Special,1,Dec 2016 , Dec 2016,28785,8.24
